Artist,Release Date,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,Explicit Track
Tommy Richman,4/26/2024,1,725.4,390470936.0,"30,716","196,631,588",92.0,"84,274,754","1,713,126",5767700.0,"651,565,900","5,332,281,936","150,597,040",210.0,"40,975",684,62.0,"17,598,718",114.0,"18,004,655","22,931","4,818,457","2,669,262",0
Kendrick Lamar,5/4/2024,2,545.9,323703884.0,"28,113","174,597,137",92.0,"116,347,040","3,486,739",674700.0,"35,223,547","208,339,025","156,380,351",188.0,"40,778",3,67.0,"10,422,430",111.0,"7,780,028","28,444","6,623,075","1,118,279",1
Artemas,3/19/2024,3,538.4,601309283.0,"54,331","211,607,669",92.0,"122,599,116","2,228,730",3025400.0,"275,154,237","3,369,120,610","373,784,955",190.0,"74,333",536,136.0,"36,321,847",172.0,"5,022,621","5,639","7,208,651","5,285,340",0
Miley Cyrus,1/12/2023,4,444.9,2031280633.0,"269,802","136,569,078",85.0,"1,096,100,899","10,629,796",7189811.0,"1,078,757,968","14,603,725,994","3,351,188,582",394.0,"1,474,799","2,182",264.0,"24,684,248",210.0,"190,260,277","203,384",,"11,822,942",0
Eminem,5/31/2024,5,423.3,107034922.0,"7,223","151,469,874",88.0,"77,373,957","3,670,188",16400.0,,,"112,763,851",182.0,"12,185",1,82.0,"17,660,624",105.0,"4,493,884","7,006","207,179","457,017",1
Jack Harlow,11/10/2023,6,410.1,670665438.0,"105,892","175,421,034",83.0,"131,148,091","1,392,593",4202367.0,"214,943,489","2,938,686,633","2,867,222,632",138.0,"522,042","4,654",86.0,"17,167,254",152.0,"138,529,362","50,982","9,438,601","4,517,131",1
FloyyMenor,2/2/2024,8,375.8,675079153.0,"40,094","211,236,940",92.0,"228,382,568","1,439,495",3500000.0,"338,546,668","3,804,584,163","2,112,581,620",160.0,"17,221",30,87.0,"33,245,595",53.0,"3,372,428","5,762",,"6,063,523",1
Central Cee,5/23/2024,10,330.6,90676573.0,"10,400","184,199,419",86.0,"32,735,244","988,682",325800.0,"121,574,500","974,656,200","174,706,874",191.0,"3,823",117,78.0,"10,800,098",92.0,"1,005,626",842,"3,679,709","666,302",1
Billie Eilish,5/17/2024,13,316.3,221636195.0,"13,800","197,280,692",92.0,"40,022,524","1,307,290",195300.0,"45,889,000","360,017,000","342,107,131",244.0,"41,344",45,138.0,"38,243,636",163.0,"1,354,692","1,219","1,313,357","450,344",0
Kids With Buns,10/7/2022,15,301.6,297185.0,277,"24,445",12.0,"6,736,502,312","16,785,489",3.0,"1,088","22,234",,1.0,"1,057",,,,,,,,"3,288",0
Myke Towers,3/22/2023,16,299.9,925655569.0,"103,605","79,944,921",79.0,"934,302,031","4,294,166",11054500.0,"521,725,116","7,499,234,052","2,042,145,659",94.0,"92,231",228,60.0,"5,633,435",83.0,"12,171,026","13,242","871,978","2,765,808",1
Taylor Swift,4/18/2024,17,297.6,395433400.0,"12,784","177,932,568",89.0,"104,673,836","2,484,083",139300.0,"25,348,800","207,317,000","268,893,710",221.0,"129,968",3,99.0,"37,988,531",134.0,"9,961,769","13,437","377,734","1,210,029",0
Tate McRae,9/14/2023,18,293.7,1258569694.0,"105,218","198,845,580",87.0,"141,646,818","1,514,837",2294429.0,"419,319,161","5,456,156,211","2,667,285,437",207.0,"667,329","3,310",188.0,"21,788,568",150.0,"44,850,379","12,270",,"6,973,652",1
Billie Eilish,5/17/2024,19,292.6,91272461.0,"6,499","52,287,548",86.0,"16,038,053","569,377",941900.0,"119,740,900","1,225,345,800","5,839,168",76.0,181,1,24.0,"5,054,005",33.0,"283,089",162,"975,891","257,661",0
Harry Styles,3/31/2022,20,292.0,3301814535.0,"407,119","169,783,402",87.0,"800,899,315","9,101,589",2755903.0,"1,633,970,617","15,405,881,843","7,289,707,052",455.0,"1,777,811","4,909",330.0,"12,907,852",189.0,"132,624,772","79,909",,"14,967,379",0
Doja Cat,8/4/2023,21,290.5,1065399331.0,"170,890","121,712,197",78.0,"240,970,670","2,749,668",3091732.0,"652,428,798","7,095,564,106","1,063,591,802",158.0,"400,899",273,143.0,"13,718,632",146.0,"70,291,476","49,111",,"7,559,816",1
Sabrina Carpenter,4/12/2024,22,281.5,547882871.0,"24,425","262,343,414",95.0,"107,550,212","1,825,761",209200.0,"169,144,295","1,379,499,000","422,646,034",298.0,"37,208",236,167.0,"41,414,565",149.0,"10,362,898","10,848","1,551,157","1,373,085",1
Beyoncï¿,2/10/2024,24,278.9,426700979.0,"34,044","152,928,632",86.0,"35,724,356","437,980",1470500.0,"485,200,392","6,518,604,175","1,213,175,656",159.0,"309,497",257,194.0,"40,725,482",177.0,"13,860,535","36,282",,"2,100,708",1
WZ Beat,5/24/2022,26,268.1,7382759.0,"3,504","661,084",35.0,"4,233,958","69,990",37621885.0,"1,636,811,753","22,918,660,728",,1.0,,439,1.0,6,1.0,,,,"633,525",0
The Kid LAROI,7/9/2021,27,266.3,3107100349.0,"451,732","134,793,519",78.0,"1,256,973,582","14,661,425",7485966.0,"2,246,991,336","23,712,377,029","4,327,058,646",513.0,"1,510,151","4,096",166.0,"5,783,693",128.0,"196,783,487","124,922","36,341,585",,1
Pinkfong,12/1/2015,28,265.7,720822868.0,"60,945","7,530,769",71.0,"16,322,756,555","48,757,673",7743800.0,"281,762,094","6,577,639,193","2,166,611",33.0,284,142,19.0,"52,179",17.0,"86,458,847","2,234,137",,"2,064,420",0
BABYMONSTER,4/1/2024,32,237.5,124893397.0,"3,479","25,936,342",82.0,"359,896,095","4,907,193",212500.0,"48,327,004","390,081,328","38,798,822",36.0,"2,188",32,3.0,"347,997",26.0,"130,743",592,"265,670","191,867",0
Tyla,7/28/2023,33,234.6,670376179.0,"98,450","150,471,020",83.0,"265,180,930","2,566,846",2114363.0,"369,150,956","3,932,956,380","3,031,114,430",225.0,"486,952","1,215",180.0,"19,469,488",188.0,"40,418,532","27,555","6,049,784","6,447,136",0
Kenya Grace,9/1/2023,34,233.5,750154960.0,"139,141","103,879,363",79.0,"118,208,096","1,495,758",1031447.0,"196,985,853","2,231,749,390","1,745,168,821",163.0,"378,114",856,113.0,"16,295,286",112.0,"20,228,317","5,331","10,938,075","7,477,917",0
Teddy Swims,6/23/2023,38,224.1,775135157.0,"88,239","180,617,454",87.0,"139,180,960","1,504,385",396560.0,"49,060,857","597,513,595","4,016,801,205",215.0,"605,841",162,133.0,"42,675,181",120.0,"253,538,985","72,429","5,409,388","10,517,831",0
Gunna,6/15/2023,39,221.1,759998727.0,"188,142","80,392,612",80.0,"94,699,547","1,222,012",1237229.0,"311,252,391","3,281,790,327","140,623,676",123.0,"265,291","4,003",40.0,"2,225,409",88.0,"64,456,799","20,518","33,130,829","3,945,184",1
Tones And I,5/10/2019,40,214.5,3071214106.0,"375,201","64,901,153",71.0,"3,366,447,481","27,240,268",10342366.0,"393,814,740","5,861,939,942","2,428,166,573",549.0,"573,733",169,584.0,"5,749,770",121.0,"373,294,159","844,198","37,430,204","44,842,636",0
Billie Eilish,5/17/2024,41,212.8,214237645.0,"10,871","202,626,837",92.0,"11,033,725","251,373",251200.0,"71,078,500","443,104,700","148,058,631",247.0,"3,400",8,67.0,"11,523,335",125.0,"840,442","2,592","1,369,981","285,858",0
sped up 8282,4/8/2023,42,211.2,170970614.0,"27,827","5,784,546",41.0,"22,280,037","334,523",14348249.0,"948,225,544","12,196,985,599",,2.0,672,,4.0,"35,737",9.0,"270,610","3,170",,,1
David Guetta,8/26/2022,43,209.6,1658229422.0,"262,248","239,957,538",83.0,"466,080,689","4,324,989",728093.0,"54,258,768","1,051,836,430","1,425,853,925",285.0,"935,190","2,487",207.0,"6,479,623",168.0,"139,926,990","31,235","8,007,236","10,973,120",1
David Kushner,4/14/2023,44,207.0,1126820069.0,"177,800","85,255,689",82.0,"274,070,101","3,701,289",2557115.0,"285,329,503","2,578,518,632","1,205,538,057",163.0,"259,255",96,77.0,"3,413,707",80.0,"28,924,685","14,634","9,505,098","8,681,350",0
Mitski,9/15/2023,45,206.2,997702304.0,"105,927","92,834,002",86.0,"48,093,111","959,175",3648759.0,"857,220,853","5,469,808,282","298,259,422",91.0,"36,285","2,676",63.0,"10,874,749",110.0,"6,151,267","9,160","7,980,051","2,682,219",0
Dua Lipa,11/9/2023,47,205.1,493627071.0,"45,300","87,874,006",80.0,"150,571,504","1,575,378",93500.0,"35,970,610","386,610,043","3,129,834,452",174.0,"564,640",405,146.0,"28,246,184",127.0,"25,843,941","3,694","1,991,527","2,389,957",0
Mae Stephens,2/10/2023,49,203.6,304929492.0,"43,923","46,133,083",69.0,"61,986,821","921,044",13872768.0,"390,207,653","5,684,815,935","19,218,089",78.0,"92,638",822,41.0,"3,467,570",36.0,"7,444,354","7,188",,"2,227,494",1
Luis Fonsi,1/13/2017,50,203.5,1747093405.0,"178,114","49,464,650",74.0,"9,537,135,721","61,799,279",799338.0,"78,304,409","1,143,297,071","569,548,901",179.0,"121,234",116,145.0,"1,977,014",118.0,"266,603,596","2,359,900",,"19,622,551",0
Mvua,2/10/2023,52,200.3,104271.0,249,"8,585",25.0,"2,457,026,781",,190.0,"36,666","393,580",,,12,,,,,,,,"1,881",0
Rema,8/25/2022,53,198.0,1391688322.0,"163,876","130,963,116",77.0,"902,742,581","8,099,187",599.0,"48,035","2,857,920","750,030,685",316.0,"1,107,265",,112.0,"11,937,930",146.0,"52,073,859","41,487","5,820,026","3,521,951",0
Ed Sheeran,1/6/2017,54,195.1,3909458734.0,"316,378","148,037,882",80.0,"8,013,997,219","45,770,887",2270315.0,"194,420,058","2,320,856,331","2,294,804,623",465.0,"402,829",282,512.0,"2,710,931",115.0,"733,565,655","651,557","78,149,375","1,146,246",0
The Weeknd,11/29/2019,56,194.0,4281468720.0,"590,392","165,544,011",83.0,"833,807,130","10,093,211",2882064.0,"337,322,563","3,501,177,394","2,258,085,924",859.0,"1,695,240","1,116",564.0,"11,701,129",184.0,"489,299,762","319,634","28,659,471","28,994,660",0
Metro Boomin,12/2/2022,57,192.3,1337619917.0,"228,295","64,806,723",80.0,"193,982,443","2,023,998",423714.0,"148,085,419","1,268,862,678","444,033,037",152.0,"952,186",34,58.0,"2,134,791",66.0,"77,382,416","28,694",,"6,205,060",1
Sam Smith,9/22/2022,60,189.1,1556275789.0,"210,583","95,974,138",74.0,"254,051,906","3,364,206",2379787.0,"683,088,623","7,945,975,878","1,524,133,775",203.0,"718,849",117,63.0,"1,616,564",167.0,"111,398,743","71,335","10,424,892","10,192,485",0
aespa,5/13/2024,63,186.1,69729033.0,"2,483","21,046,278",81.0,"111,310,770","1,724,693",56600.0,"61,038,623","393,973,528","32,059,104",40.0,709,13,7.0,"544,322",14.0,"45,515",100,"255,951","63,283",0
Bad Bunny,5/6/2022,64,184.8,1811990630.0,"173,358","67,603,671",79.0,"1,516,863,120","8,870,768",4506600.0,"549,886,060","6,470,937,272","934,894,575",124.0,"77,120",327,44.0,"14,871,714",63.0,"111,324,744","39,123",,"3,393,920",1
Rema,2/10/2022,66,180.1,584427088.0,"182,994","19,203,258",68.0,"1,141,904,909","8,766,235",6129450.0,"856,216,952","18,216,656,774","2,952,879,912",138.0,"191,634",759,53.0,"3,481,756",45.0,"98,290,873","46,039","14,668,216","22,563,407",0
SZA,12/8/2022,68,177.7,1873746537.0,"190,202","99,546,318",82.0,"220,538,045","3,153,793",266430.0,"152,410,048","1,284,413,960","426,461,749",214.0,"655,242","5,448",73.0,"1,304,067",122.0,"57,350,590","61,270","16,992,932","4,873,832",0
Billie Eilish,7/13/2023,69,177.6,891720245.0,"114,560","97,542,546",82.0,"144,741,616","2,761,964",1443103.0,"498,822,693","3,998,086,216","1,384,310,160",168.0,"275,119",68,108.0,"10,920,686",111.0,"39,374,594","19,921","5,418,596","4,476,509",0
Glass Animals,6/29/2020,71,175.0,2996181078.0,"486,278","112,416,489",82.0,"1,272,898,075","14,947,520",1416295.0,"513,334,446","5,518,429,969","4,899,313,022",459.0,"1,414,326","1,434",170.0,"11,862,378",95.0,"122,247,640","160,431",,"17,848,778",0
Bizarrap,1/11/2023,73,174.3,946941510.0,"100,130","74,836,321",74.0,"776,436,101","12,951,756",4210895.0,"797,017,650","11,936,401,096","457,987,382",110.0,"165,670",180,106.0,"4,971,379",92.0,"48,806,666","10,225",,"2,237,762",0
Lil Nas X,3/14/2019,75,170.3,1010494713.0,"127,393","18,652,312",67.0,"3,203,314,695","41,487,213",5757883.0,"187,301,054","1,981,431,049","939,714,925",63.0,"49,780","2,195",64.0,"397,418",100.0,"181,784,010","2,022,074","106,880,548","8,856,633",0
Grupo Frontera,4/17/2023,76,170.2,1008495696.0,"99,381","57,394,938",75.0,"878,892,413","4,425,283",796603.0,"127,651,887","1,669,065,906","1,522,934,425",101.0,"73,481",225,42.0,"5,734,172",81.0,"55,857,743","15,528",,"2,283,747",0
Dave,6/1/2023,78,168.1,692512930.0,"199,828","55,464,762",78.0,"219,666,692","2,332,307",731797.0,"130,560,533","1,254,944,697","918,145,630",155.0,"42,082",36,41.0,"1,790,031",76.0,"411,656","3,414","12,405,917","3,093,667",1
Billie Eilish,5/17/2024,79,167.8,169410711.0,"11,028","144,854,768",90.0,"19,402,457","997,411",284.0,,,"260,377,114",185.0,"1,008",,53.0,"20,737,850",59.0,"521,322",698,"1,680,434","388,625",0
KAROL G,2/23/2023,80,167.8,1024381758.0,"78,554","69,319,589",78.0,"1,102,289,596","8,953,293",457111.0,"15,048,444","248,168,852","1,174,053,183",138.0,"149,584",38,84.0,"8,850,320",131.0,"68,022,934","16,511","164,895","3,488,226",1
Ed Sheeran,3/3/2017,81,167.5,2969999682.0,"280,165","116,921,604",81.0,"6,473,698,897","39,632,673",6642975.0,"601,244,764","7,647,479,866","1,708,317,539",208.0,"263,386",129,343.0,"1,242,581",102.0,"617,483,078","595,052",,,0
Farruko,6/24/2021,82,167.3,1500499584.0,"359,502","125,112,486",74.0,"1,431,591,689","11,553,088",2866181.0,"290,811,371","4,067,248,819","782,475,986",258.0,"240,677",438,137.0,"4,015,523",102.0,"120,046,948","89,582","6,227","17,210,946",1
Eslabon Armado,3/16/2023,84,166.5,1215336974.0,"129,463","39,814,172",74.0,"701,880,622","3,831,236",5416.0,"550,073","15,373,104","546,259,059",83.0,"40,153",227,24.0,"4,946,338",61.0,"84,378,219","53,890","17,115,523","3,435,177",0
Dua Lipa,5/25/2023,85,166.2,860026452.0,"74,769","139,913,794",80.0,"173,044,031","1,640,319",175536.0,"90,924,917","1,227,837,850","1,205,266,954",7.0,"759,185","1,100",82.0,"4,067,956",,"64,567,514","22,064","1,843,883","3,199,636",0
Yng Lvcas,3/17/2023,86,164.9,1032225805.0,"94,887","74,469,479",79.0,"920,878,032","3,118,229",1031612.0,"116,003,972","2,416,141,351","1,690,231,413",83.0,"57,941",177,42.0,"3,360,878",48.0,"55,410,702","27,415","230,579","2,635,577",1
Adele,10/14/2021,88,163.2,1720918065.0,"209,635","93,875,458",73.0,"1,194,846,205","13,561,925",1912194.0,"733,101,955","7,860,224,413","6,353,555,150",325.0,"774,277","1,316",257.0,"5,323,750",100.0,"203,324,731","126,594",,"7,569,155",0
Bad Bunny,5/6/2022,89,163.1,1514239759.0,"190,692","77,283,361",77.0,"1,366,181,141","9,358,441",1769068.0,"475,656,543","5,249,863,696","488,048,337",150.0,"145,640",920,44.0,"5,591,928",108.0,"69,095,169","81,914",,"5,133,847",1
Lil Durk,5/12/2023,90,162.0,333202114.0,"108,322","41,018,697",68.0,"203,487,345","2,084,532",928132.0,"63,253,779","748,253,884","735,908,540",148.0,"346,411",146,30.0,"1,277,729",60.0,"90,114,807","46,789","16,620,102","4,207,535",1
Taylor Swift,10/21/2022,91,161.8,1563224246.0,"117,005","97,456,780",80.0,"203,259,285","3,482,508",1302967.0,"376,660,493","3,864,505,972","724,976,542",261.0,"1,034,319","1,088",74.0,"4,457,357",150.0,"92,338,994","45,974",,"4,703,179",0
Bizarrap,7/6/2022,92,161.7,1692951462.0,"209,490","88,591,675",78.0,"1,132,539,234","8,795,731",1212100.0,"196,608,777","2,054,826,154","56,677,146",99.0,"138,254",37,58.0,"5,211,955",65.0,"18,052,815","5,213","4,099,686","6,836,893",0
Darell,7/28/2023,94,158.2,275349653.0,"37,806","22,826,643",70.0,"347,506,860","1,553,295",4349700.0,"321,239,621","4,767,676,439","2,676,837,761",19.0,"23,875",96,37.0,"3,780,737",29.0,"5,101,044","5,276",,"1,245,874",1
PinkPantheress,2/3/2023,96,153.6,851085705.0,"129,047","50,996,176",70.0,"211,810,152","2,461,166",3502547.0,"955,272,568","8,781,020,473","806,434,641",162.0,"223,173","6,243",65.0,"8,655,684",130.0,"10,207,007","36,847","13,896,129","2,580,691",1
SZA,12/9/2022,97,153.3,1013350808.0,"108,036","86,470,319",84.0,"390,677,417","2,521,214",402338.0,"97,819,766","887,803,828","560,893,301",154.0,"559,589",513,60.0,"2,707,900",61.0,"74,611,167","85,113","17,702,595","3,129,609",1
Peso Pluma,12/7/2023,98,153.1,359803580.0,"26,065","79,152,427",86.0,"369,321,334","1,839,225",720800.0,"74,164,945","874,056,250","4,123,457,278",40.0,"16,952",69,63.0,"18,139,662",51.0,"20,058,510","7,289",,"1,002,835",1
cassï¿,8/11/2023,100,152.5,609699748.0,"128,498","160,755,092",83.0,"47,611,547","418,343",283600.0,"96,934,486","1,090,501,901","113,545,664",129.0,"123,242","1,570",167.0,"15,480,679",100.0,"1,210,830","1,073","25,956,265",,1
Paul Russell,8/18/2023,102,152.1,242070373.0,"37,170","74,130,983",76.0,"22,907,992","261,664",2553106.0,"312,997,953","3,832,221,658","15,593,731",106.0,"370,635","5,999",69.0,"1,792,014",79.0,"84,425,715","30,713","670,026","2,219,984",0
Bad Bunny,10/13/2023,103,150.7,478150858.0,"73,306","51,842,133",78.0,"113,379,734","1,312,763",1700998.0,"182,319,546","2,111,289,492","90,954,700",78.0,"35,330",39,56.0,"15,784,760",53.0,"17,823,388","12,664","4,374,049","2,255,465",1
Jawsh 685,4/24/2020,104,150.5,61382407.0,"7,240","1,708,319",43.0,"9,977,490","201,210",37726462.0,"9,239,474","147,837,262",,15.0,"10,152",,5.0,"59,317",1.0,,,,"3,819,161",0
Peggy Gou,6/15/2023,105,150.4,460156070.0,"163,449","127,827,271",77.0,"8,183,226","98,257",530103.0,"65,920,648","1,032,799,567","56,004,473",,"195,140",,102.0,"3,034,022",111.0,"1,132,923","1,312","9,451,176","9,279,625",0
Dua Lipa,2/15/2024,106,148.9,251153869.0,"16,811","92,985,554",76.0,"66,691,067","961,957",102884.0,"34,572,688","431,390,500","2,120,552,147",162.0,"180,711",57,127.0,"33,540,073",116.0,"10,305,245","3,796","776,717","2,047,771",0
Roddy Ricch,12/6/2019,109,146.6,1911559785.0,"317,345","87,765,033",78.0,"441,257,231","4,829,633",4930490.0,"561,201,008","4,574,447,121","2,077,511",255.0,"296,948",181,138.0,"555,650",28.0,"295,741,432","633,414","168,458,097","11,988,760",1
Lil Nas X,7/23/2021,110,145.3,2014959725.0,"354,831","87,942,438",70.0,"1,003,346,208","16,856,186",1750366.0,"915,814,897","9,558,947,943","3,191,316,960",360.0,"245,228",925,109.0,"3,242,122",74.0,"75,167,268","96,430",,"12,693,846",1
Luke Combs,3/24/2023,112,144.5,518988585.0,"73,116","58,391,498",80.0,"107,703,759","768,813",354036.0,"74,258,021","924,204,888","103,658,014",117.0,"673,629",59,67.0,"8,306,302",104.0,"184,924,061","88,890","728,039","3,108,167",0
Tollan Kim,3/4/2022,114,144.0,5712985.0,"2,311","535,908",44.0,"3,120,073","56,276",20114495.0,"2,452,502,310","33,870,791,454",,4.0,22,,4.0,"1,397",1.0,"21,564",81,,"249,823",0
Post Malone,10/18/2018,116,143.9,3358704125.0,"392,082","123,917,182",79.0,"2,763,188,773","19,410,390",2714134.0,"178,829,434","1,597,453,878","484,189,798",351.0,"273,683",,86.0,"809,352",99.0,"546,367,356","906,813",,"1,569,935",0
Dianï¿½,8/1/2022,115,143.9,126914.0,8,212,1.0,"2,435,813,922","7,208,467",33.0,188,"6,415","26,630,093",,658,,,,,,,,295,0
Imagine Dragons,1/31/2017,119,142.2,3006226762.0,"335,880","89,243,475",81.0,"4,495,059,988","42,240,881",5745117.0,"453,132,709","5,876,458,723","276,194,776",226.0,"253,782",388,118.0,"1,138,425",71.0,"614,578,695","844,301","2,943,611","21,306,706",0
Future,4/27/2022,120,141.0,787155930.0,"183,850","58,397,185",77.0,"357,772,653","2,590,835",931660.0,"95,662,104","836,550,889","3,934,416,606",150.0,"463,665","1,308",32.0,"399,388",69.0,"182,315,884","53,326","48,937,045","3,534,164",1
Travis Scott,7/28/2023,121,139.5,532605345.0,"128,534","31,725,858",81.0,"97,958,347","1,237,197",322900.0,"108,595,670","947,194,801","259,363,238",46.0,"107,637",57,33.0,"1,423,258",40.0,"6,334,599","8,712","12,785,993","1,861,958",1
Jere Klein,9/27/2023,122,139.0,292789738.0,"28,591","30,905,957",72.0,"406,307,035","809,942",1900606.0,"68,341,852","872,862,858","1,969,191,415",11.0,"1,754",,15.0,"8,391,160",1.0,"764,473","5,168",,"1,195,337",1
Jack Harlow,4/8/2022,123,138.6,818858244.0,"223,609","49,586,777",71.0,"231,229,581","2,756,840",1610614.0,"624,748,318","6,890,780,336","3,849,170,813",148.0,"666,615","4,406",37.0,"759,989",77.0,"117,451,442","40,907","24,111,168","4,244,972",1
Travis Scott,7/28/2023,124,137.8,659010786.0,"129,923","93,969,186",86.0,"125,203,447","1,990,342",22100.0,"13,787,343","107,398,826","244,390,161",87.0,"37,314",361,46.0,"2,137,898",38.0,"3,029,375","6,510","14,942,955","1,839,283",1
OneRepublic,5/13/2022,127,136.2,1607421145.0,"212,406","160,444,270",83.0,"409,785,349","3,326,477",247865.0,"155,593,087","1,825,552,705","2,563,240,162",267.0,"523,907","3,418",111.0,"4,754,372",75.0,"152,770,142","49,622",,"9,091,826",0
KAROL G,8/10/2023,128,136.2,438796949.0,"23,959","34,805,394",78.0,"509,727,241","2,202,866",1223804.0,"46,080,266","782,582,119","1,337,889,706",56.0,"60,758",959,29.0,"3,457,921",38.0,"38,214,505","9,932","62,622","865,444",0
Exhumed,8/30/2022,129,134.0,158627.0,635,"18,765",16.0,"2,156,140,830",,9.0,422,"4,484","1,318,392",,29,,,,,"1,132",,,208,0
24kGoldn,7/24/2020,130,133.0,1867736006.0,"302,486","82,611,625",76.0,"747,126,783","10,795,292",2467227.0,"160,756,733","1,768,836,179","2,069,527,154",329.0,"931,316","1,897",273.0,"3,821,598",85.0,"240,562,062","131,540","40,756,476","10,228,436",1
BTS,8/21/2020,131,132.3,1872577908.0,"144,619","51,186,002",74.0,"2,638,957,320","62,311,179",3098499.0,"662,794,945","5,063,720,138","2,199,001,119",323.0,"351,169",198,355.0,"1,888,088",98.0,,,,"7,896,781",0
Lewis Capaldi,11/8/2018,133,129.7,3427498835.0,"338,763","160,553,919",82.0,"2,153,701,892","20,891,433",1940473.0,"212,007,614","2,161,032,034","2,333,853,734",408.0,"600,211",381,502.0,"4,834,088",110.0,"427,212,257","357,540",,"29,266,297",0
Shakira,5/11/2023,134,129.6,230849195.0,"23,091","12,233,221",64.0,"363,082,908","5,135,848",4897595.0,"104,580,759","1,551,501,289","150,614,267",49.0,"24,103",214,25.0,"319,914",33.0,"23,525,446","4,705",,"623,446",0
Meghan Trainor,10/21/2022,135,129.5,720720922.0,"74,295","89,509,926",77.0,"221,078,988","2,557,839",4687520.0,"1,252,326,407","15,247,253,457","718,932,832",108.0,"412,680","5,869",43.0,"1,491,347",59.0,"81,828,913","36,462",,"3,086,624",0
DJ MOIGUS,6/22/2023,136,129.4,1378494.0,351,"43,395",34.0,"1,022,331","22,739",7702832.0,"90,289,248","1,272,592,848",,,,,,,,,,,"50,550",0
Olivia Rodrigo,6/30/2023,138,128.9,998964097.0,"90,793","87,801,398",18.0,"113,450,524","2,108,657",394640.0,"152,624,014","1,448,207,880","1,111,017,294",173.0,"161,513",93,61.0,"5,239,925",128.0,"28,318,435","67,590","4,296,515","4,872,257",1
Thullio Milionï¿½ï¿,3/1/2024,139,128.5,37157630.0,"2,052","30,387,641",74.0,"63,418,833","427,441",1600000.0,"853,176","8,850,449","149,589,609",11.0,190,,32.0,"8,460,458",11.0,,,,"42,895",0
LOLA,8/3/2022,140,128.0,48428.0,92,"15,747",3.0,"2,123,978,358","5,670,850",111.0,"102,828","735,317",,,46,,,,,,,,,0
Libianca,12/5/2022,141,127.8,631955547.0,"121,823","45,030,006",74.0,"305,998,382","2,647,341",3168854.0,"243,797,561","3,233,505,931","704,906,130",145.0,"122,781",202,74.0,"1,217,657",54.0,"9,017,480","11,289","8,026,553","6,121,126",1
David Guetta,4/5/2024,144,126.9,114574238.0,"10,564","180,987,712",84.0,"9,134,225","124,326",299000.0,"4,419,373","79,796,400","3,117,914",87.0,"86,814",159,128.0,"35,099,280",133.0,"4,503,872",442,"422,718",,0
Manuel Turizo,5/26/2022,146,126.2,1721045197.0,"156,941","97,122,096",81.0,"798,827,877","3,379,928",1614275.0,"209,367,923","2,596,777,974","420,585,933",142.0,"152,522","1,161",97.0,"8,709,032",133.0,"47,203,290","19,769",,"4,817,885",0
FLI:P,4/7/2023,147,125.4,8028757.0,"1,972","488,653",44.0,"48,533,758","399,664",8800000.0,"256,186,613","3,985,974,550","6,879,573",1.0,373,,,,,,,,"220,198",0
Justin Bieber,3/19/2021,148,125.2,1612286123.0,"282,719","97,390,961",74.0,"1,019,256,266","10,280,320",1404274.0,"502,778,982","4,702,037,810","2,889,452,237",348.0,"569,287",789,342.0,"2,587,713",90.0,"92,111,798","90,598",,"7,848,760",1
Dua Lipa,10/31/2019,149,124.6,2607121959.0,"270,230","143,953,432",78.0,"1,201,600,884","10,239,198",4725570.0,"414,013,363","3,535,661,993","2,374,637,534",581.0,"999,941",954,632.0,"4,254,903",118.0,"313,923,242","99,949",,"13,421,701",0
Juice WRLD,5/4/2018,150,123.9,2548389305.0,"339,306","75,858,140",78.0,"987,143,411","9,384,427",1900813.0,"44,442,433","338,071,383","274,498,079",153.0,"69,562",132,54.0,"442,640",36.0,"259,400,789","552,552","257,459,352","9,308,937",1
KAROL G,4/22/2022,151,123.8,1185929926.0,"103,026","64,847,502",76.0,"1,229,843,060","5,870,729",1300337.0,"251,445,963","2,829,294,043","763,687,717",115.0,"130,158",688,75.0,"7,349,218",90.0,"92,136,339","29,371",,"3,397,861",0
Cardi B,8/7/2020,152,123.4,1325725696.0,"171,255","53,040,559",72.0,"1,329,826,741","15,965,491",8470921.0,"1,183,499,351","9,539,547,626","181,452,145",222.0,"91,249",306,94.0,"249,116",50.0,"184,950,173","397,731",,"4,618,794",1
ZICO,4/26/2024,153,122.8,77757035.0,"3,407","35,428,519",81.0,"100,148,771","2,531,168",99900.0,"46,645,177","366,905,484","24,981,456",27.0,"1,861",51,2.0,"151,901",20.0,"63,300",98,,"173,263",0
Jung Kook,7/14/2023,156,122.4,1673557134.0,"54,950","91,343,768",80.0,"397,523,735","10,125,293",341522.0,"114,990,786","761,760,624","1,800,517,153",86.0,"23,714",861,54.0,"5,286,388",56.0,"6,442,882","4,352",,"2,310,409",1
Morgan Wallen,1/31/2023,157,121.9,922010059.0,"107,189","61,174,155",79.0,"141,852,059","567,295",285414.0,"61,112,010","811,685,466","182,412,108",106.0,"18,364","1,846",7.0,"33,712",38.0,"307,115,852","200,650","13,022,144","2,665,347",1
