Artist,Release Date,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,Explicit Track
IVE,8/22/2022,"2,169",30.8,365203093.0,"28,691","12,128,682",69.0,"281,724,902","2,937,674",4455.0,"4,713,841","49,211,096","170,632,648",25.0,"5,378",122,6.0,"76,475",19.0,"559,111",595,,"613,332",0
Billie Eilish,7/21/2017,"2,166",30.8,1091185920.0,"114,997","28,172,038",72.0,"522,422,864","5,993,528",363386.0,"57,964,177","372,214,292","21,852,096",37.0,"1,112",22,14.0,"209,449",26.0,"83,358,098","58,216","37,950,780","2,223,597",0
Santa Fe Klan,12/12/2019,"2,168",30.8,335856859.0,"27,383","5,458,230",66.0,"917,170,916","6,108,835",288416.0,"19,227,598","332,846,214","4,571,704",8.0,286,1,6.0,"55,639",3.0,"12,520,421","6,653",,"973,063",0
Alan Walker,7/27/2018,"2,173",30.8,596469106.0,"81,058","16,282,307",67.0,"919,443,352","9,060,446",155324.0,"14,285,955","127,865,814","254,564,290",32.0,"19,066",,16.0,"125,289",11.0,"35,950,795","54,690",,"2,538,154",0
Chris Brown,6/17/2022,"2,174",30.8,125056212.0,"43,939","9,282,167",61.0,"123,551,829","1,191,440",93200.0,"5,963,103","58,980,168","58,989,712",53.0,"80,954",271,16.0,"143,492",33.0,"25,014,026","6,095","3,759,210","1,524,739",0
AJR,1/1/2021,"2,165",30.8,343227483.0,"71,196","5,509,068",63.0,"239,480,315","4,107,386",532614.0,"652,146,812","6,292,383,402","988,296,994",9.0,"38,402",554,4.0,"65,921",6.0,"8,090,551","75,244","4,172,343","2,936,528",1
Megan Thee Stallion,6/11/2021,"2,176",30.8,319372639.0,"63,421","26,904,800",60.0,"166,781,349","2,497,154",711938.0,"542,884,940","3,757,736,116","50,913,560",91.0,"81,209",175,15.0,"143,489",39.0,"64,291,360","28,935",,"1,499,357",1
Kendrick Lamar,1/1/2012,"2,167",30.8,1476217041.0,"352,198","59,811,242",75.0,"385,175,377","3,054,056",1174942.0,"197,659,809","1,484,578,640","9,778",117.0,188,7,32.0,"565,677",13.0,"304,362,215","166,654",,"6,010,383",1
Eladio Carrion,3/17/2023,"2,175",30.8,190420514.0,"39,949","11,667,012",65.0,"109,102,453","801,125",46300.0,"30,338,931","272,952,215","3,843,594",20.0,692,,3.0,"3,397",4.0,"126,414",229,,"315,999",1
Jonas Brothers,4/7/2023,"2,170",30.8,139105802.0,"16,162","24,753,071",63.0,"18,520,292","175,833",37347.0,"12,006,571","147,611,576","1,051,178,417",66.0,"170,601","1,787",19.0,"641,414",17.0,"16,509,877","6,205",,"573,574",0
