1.2;4.8;4.2;1.7;9.9;2.3;4.6;3.1;0.8;0.2;1.1;9.2;4.3;15.8;0.0;0.6;0.0;7.9;8.2;7.1;11.6;0.3;0.5;0.0;0.2;0.3
8.4;0.5;0.0;0.5;53.2;0.0;1.6;0.5;6.3;0.0;0.5;4.7;0.0;0.5;4.2;0.0;0.0;4.7;3.2;2.1;7.4;0.0;0.5;0.0;0.5;0.5
0.8;0.0;0.0;0.8;0.4;0.0;0.0;91.0;0.4;0.0;5.3;0.4;0.0;0.0;0.8;0.0;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0
11.2;0.6;0.2;2.7;46.9;0.6;0.8;0.4;19.2;0.2;0.6;1.0;0.8;1.2;1.9;0.6;0.0;2.1;2.3;1.2;3.3;0.6;0.8;0.0;0.0;0.6
1.5;2.6;1.4;2.9;1.3;1.5;2.9;3.3;11.0;0.2;1.1;3.6;3.2;22.9;0.3;0.7;0.1;23.4;8.0;3.2;2.1;0.8;1.3;0.1;0.1;0.6
11.6;1.2;0.0;5.5;15.2;7.3;1.8;0.6;4.3;0.0;0.6;3.1;0.6;1.2;5.5;0.6;0.0;11.0;1.2;12.2;14.6;0.6;0.6;0.0;0.0;0.6
6.5;1.0;0.0;3.9;47.7;0.6;1.0;1.0;6.2;0.3;1.0;2.9;1.0;1.6;2.0;0.3;0.0;4.6;5.8;5.8;3.6;1.3;1.0;0.0;0.0;1.0
16.6;1.0;0.2;3.3;24.1;0.5;1.0;0.7;5.4;0.2;0.7;5.9;2.6;4.5;4.3;0.2;0.0;8.8;2.6;11.1;2.6;1.0;2.1;0.0;0.0;0.7
0.9;0.9;9.8;2.6;21.1;0.6;4.9;1.6;0.1;0.1;1.6;3.2;3.5;21.8;2.6;0.3;0.0;2.2;10.2;10.1;0.4;0.7;0.1;0.0;0.0;0.6
36.0;0.0;0.0;0.0;36.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.0;0.0;0.0;0.0;0.0;0.0;20.0;0.0;0.0;0.0;0.0;0.0
17.7;0.7;0.0;1.4;17.7;0.7;0.7;0.7;4.8;0.0;0.7;6.8;0.7;0.7;16.3;0.7;0.0;8.8;3.4;9.5;6.1;0.7;0.7;0.0;0.0;0.7
12.8;2.0;0.6;4.0;18.5;1.4;1.7;0.6;17.3;0.3;2.0;11.9;0.8;1.1;4.0;0.6;0.0;0.6;6.2;7.7;3.7;0.8;0.6;0.0;0.0;0.8
15.4;2.3;0.4;3.1;19.2;1.5;1.5;1.2;16.9;0.8;1.2;1.5;8.8;1.2;5.8;2.7;0.0;0.8;3.8;3.1;5.4;1.5;1.2;0.0;0.0;0.8
6.9;2.3;0.5;19.0;12.4;1.9;9.6;1.7;6.6;0.5;2.6;1.0;2.3;4.4;1.8;1.0;0.0;1.0;7.5;6.0;3.4;1.8;3.0;0.0;0.0;2.6
1.0;2.7;5.0;2.3;8.3;2.0;1.7;3.0;0.3;0.3;1.0;10.3;5.7;21.3;0.3;2.0;0.0;16.7;6.3;3.0;1.0;1.0;2.3;0.0;0.3;2.0
17.4;0.0;0.0;3.3;10.9;6.5;0.0;2.2;4.4;0.0;0.0;4.4;0.0;0.0;12.0;5.4;0.0;25.0;1.1;3.3;4.4;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0;0.0;0.0;0.0;0.0
10.6;3.3;1.2;8.9;14.9;2.4;3.6;2.5;6.9;0.5;3.1;2.4;2.7;4.1;4.0;1.2;0.0;2.0;7.2;6.5;6.3;1.6;2.3;0.0;0.0;1.9
5.3;1.5;13.0;2.9;14.5;1.0;1.9;1.3;9.5;0.3;1.6;1.3;1.8;1.0;4.1;3.2;0.0;1.2;11.1;17.0;2.2;1.3;1.5;0.0;0.3;1.0
9.4;1.3;0.2;4.2;30.7;0.8;1.7;2.3;9.8;0.3;0.7;1.8;1.5;1.5;3.0;0.5;0.0;5.1;8.3;3.8;4.3;1.3;3.5;0.0;0.2;4.3
0.7;1.9;3.8;1.2;18.7;6.5;1.9;1.0;0.5;0.0;0.7;1.7;5.0;28.5;0.0;1.2;0.0;7.9;11.5;5.5;0.2;0.7;0.5;0.0;0.0;0.2
3.3;0.0;0.0;0.0;40.2;0.0;0.0;0.0;9.8;0.0;0.0;0.0;0.0;0.0;46.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
23.1;0.0;0.0;0.0;32.6;0.0;0.0;0.0;24.5;0.7;0.0;0.0;0.0;0.7;11.6;0.0;0.0;0.0;0.7;0.0;6.1;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;33.3;0.0;0.0;0.0;0.0;0.0;33.3;0.0;0.0;0.0;0.0;33.3;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;25.0;0.0;0.0;0.0;0.0;0.0;0.0;25.0;25.0;0.0;0.0;0.0;0.0;0.0;25.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3.5;0.9;0.0;0.9;24.6;0.0;0.9;0.0;9.6;0.0;0.9;1.8;0.9;0.0;1.8;0.0;0.0;0.0;0.9;6.1;37.7;0.9;7.9;0.0;0.0;0.9
