Spotify Streams,Spotify Playlist Count,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,Explicit Track,Total_Popularity_Score,Cross_Platform_Count,Release_Year,Artist_Song_Count,YouTube_Engagement_Rate,TikTok_Engagement_Rate,Track_Success
997702300.0,105927.0,86.0,48093110.0,959175.0,3648759.0,857220860.0,0,0.09083057,2,2023.0,2,0.019944144,234.93484,1
59314440.0,2572.0,83.0,22374808.0,1026097.0,182200.0,188200.0,1,0.005077416,0,2024.0,7,0.045859523,1.0329306,1
493627070.0,45300.0,80.0,150571500.0,1575378.0,93500.0,35970610.0,0,0.042016856,2,2023.0,17,0.010462663,384.7083,1
1655575400.0,9.0,67.0,148269620.0,1257935.0,182200.0,26534406.0,1,0.13229926,1,2024.0,14,0.008484112,145.63261,1
304929500.0,43923.0,69.0,61986820.0,921044.0,13872768.0,390207650.0,1,0.030546956,2,2023.0,1,0.014858723,28.127598,1
1747093400.0,178114.0,74.0,9537136000.0,61799280.0,799338.0,78304410.0,0,0.3318932,3,2017.0,3,0.0064798575,97.96146,1
168434320.0,17168.0,86.0,53604744.0,1846535.0,182200.0,26534406.0,1,0.0145848105,0,2024.0,18,0.03444725,145.63261,1
104271.0,249.0,35.0,2457026800.0,1257935.0,190.0,36666.0,0,0.050184436,1,2023.0,1,0.0005119749,191.97382,1
1391688300.0,163876.0,77.0,902742600.0,8099187.0,599.0,48035.0,0,0.12678562,2,2022.0,4,0.008971758,80.06,1
3909458700.0,316378.0,80.0,8013997000.0,45770890.0,2270315.0,194420060.0,0,0.4707882,3,2017.0,15,0.0057113683,85.63568,1
55346.0,42.0,35.0,2432266000.0,8162101.0,182200.0,26534406.0,0,0.050051242,1,2023.0,1,0.0033557604,145.63261,1
4281468700.0,590392.0,83.0,833807100.0,10093211.0,2882064.0,337322560.0,0,0.3551508,3,2019.0,31,0.012104972,117.04197,1
1337620000.0,228295.0,80.0,193982450.0,2023998.0,423714.0,148085420.0,1,0.11020439,3,2022.0,15,0.010433929,349.49298,1
239850720.0,2.0,67.0,52480068.0,82092.0,182200.0,26534406.0,0,0.020121962,0,2024.0,1,0.00156427,145.63261,1
1655575400.0,1.0,67.0,148269620.0,1257935.0,182200.0,26534406.0,1,0.13229926,1,2024.0,14,0.008484112,145.63261,1
1556275800.0,210583.0,74.0,254051900.0,3364206.0,2379787.0,683088640.0,0,0.13605157,3,2022.0,10,0.013242204,287.0376,1
239850720.0,2.0,35.0,148269620.0,1257935.0,182200.0,26534406.0,0,0.022078115,0,2024.0,1,0.008484112,145.63261,1
1384.0,2.0,67.0,222076.0,5430.0,5013500.0,605320700.0,0,0.008600078,1,2023.0,1,0.024455482,120.73812,1
69729030.0,2483.0,81.0,111310770.0,1724693.0,56600.0,61038624.0,0,0.008568513,0,2024.0,8,0.015494403,1078.4019,1
1811990700.0,173358.0,79.0,1516863100.0,8870768.0,4506600.0,549886100.0,1,0.1798571,3,2022.0,60,0.0058481013,122.017914,1
199929810.0,4.0,67.0,148269620.0,1257935.0,182200.0,26534406.0,1,0.018970078,0,2024.0,2,0.008484112,145.63261,1
584427100.0,182994.0,68.0,1141904900.0,8766235.0,6129450.0,856216960.0,0,0.08097796,3,2022.0,4,0.007676853,139.68901,1
466887040.0,53842.0,84.0,27688666.0,449112.0,182200.0,26534406.0,1,0.037291583,1,2024.0,2,0.016220102,145.63261,1
1873746600.0,190202.0,82.0,220538050.0,3153793.0,266430.0,152410050.0,0,0.15254821,3,2022.0,14,0.0143004535,572.0432,1
891720260.0,114560.0,82.0,144741620.0,2761964.0,1443103.0,498822700.0,0,0.0794638,2,2023.0,27,0.019082038,345.65955,1
46567.0,252.0,35.0,2038460000.0,6076902.0,182200.0,26534406.0,0,0.042008493,1,2023.0,1,0.0029811244,145.63261,1
2996181000.0,486278.0,82.0,1272898000.0,14947520.0,1416295.0,513334430.0,0,0.26655102,3,2020.0,2,0.011742905,362.44855,1
2045512400.0,97.0,67.0,148269620.0,1257935.0,182200.0,26534406.0,0,0.16265777,1,2024.0,13,0.008484112,145.63261,1
946941500.0,100130.0,74.0,776436100.0,12951756.0,4210895.0,797017660.0,0,0.10089749,3,2023.0,17,0.016681034,189.27507,1
7909.0,38.0,35.0,1999374100.0,5708577.0,182200.0,26534406.0,0,0.041207295,1,2023.0,1,0.0028551826,145.63261,1
1010494700.0,127393.0,67.0,3203314700.0,41487212.0,5757883.0,187301060.0,0,0.1467477,3,2019.0,10,0.012951339,32.529495,1
1008495700.0,99381.0,75.0,878892400.0,4425283.0,796603.0,127651890.0,0,0.09827711,3,2023.0,9,0.005035069,160.2451,1
239850720.0,10230.0,67.0,12489728.0,339414.0,42900000.0,919945700.0,0,0.03199172,1,2020.0,3,0.027175529,21.443954,1
692512960.0,199828.0,78.0,219666690.0,2332307.0,731797.0,130560536.0,1,0.060255293,3,2023.0,7,0.010617486,178.41061,1
169410700.0,11028.0,90.0,19402456.0,997411.0,284.0,26534406.0,0,0.0139623685,0,2024.0,27,0.051406477,93103.18,1
1024381760.0,78554.0,78.0,1102289500.0,8953293.0,457111.0,15048444.0,1,0.10247703,3,2023.0,32,0.008122452,32.920696,1
2969999600.0,280165.0,81.0,6473699000.0,39632670.0,6642975.0,601244740.0,0,0.37196857,3,2017.0,15,0.0061221067,90.50835,1
1500499600.0,359502.0,74.0,1431591700.0,11553088.0,2866181.0,290811360.0,1,0.15018578,3,2021.0,6,0.008070101,101.46298,1
8082.0,63.0,67.0,2055940500.0,4150967.0,182200.0,26534406.0,0,0.042362474,1,2023.0,1,0.0020190116,145.63261,1
1215337000.0,129463.0,74.0,701880640.0,3831236.0,5416.0,550073.0,0,0.10896105,2,2023.0,3,0.005458531,101.545876,1
860026430.0,74769.0,80.0,173044030.0,1640319.0,175536.0,90924920.0,0,0.07178212,2,2023.0,17,0.009479206,517.9815,1
1032225800.0,94887.0,79.0,920878000.0,3118229.0,1031612.0,116003970.0,1,0.10081662,3,2023.0,2,0.0033861487,112.44912,1
428233000.0,57311.0,67.0,105148630.0,1762297.0,87200.0,6732800.0,1,0.035582833,1,2024.0,17,0.016760066,77.21014,1
1720918000.0,209635.0,73.0,1194846200.0,13561925.0,1912194.0,733101950.0,0,0.16879229,3,2021.0,10,0.011350353,383.38242,1
1514239700.0,190692.0,77.0,1366181100.0,9358441.0,1769068.0,475656540.0,1,0.15254454,3,2022.0,60,0.006850074,268.87393,1
333202100.0,108322.0,68.0,203487340.0,2084532.0,928132.0,63253780.0,1,0.030995019,3,2023.0,9,0.010244043,68.151634,1
1563224200.0,117005.0,80.0,203259280.0,3482508.0,1302967.0,376660480.0,0,0.13120401,3,2022.0,63,0.017133333,289.07886,1
1692951400.0,209490.0,78.0,1132539300.0,8795731.0,1212100.0,196608780.0,0,0.15772437,3,2022.0,17,0.007766382,162.20494,1
255076350.0,11500.0,86.0,202206900.0,2596912.0,182200.0,57656710.0,0,0.024806917,2,2024.0,2,0.012842851,316.44565,1
275349660.0,37806.0,70.0,347506850.0,1553295.0,4349700.0,321239600.0,1,0.03309539,3,2023.0,2,0.004469828,73.853264,1
649404540.0,27544.0,83.0,433839200.0,2750086.0,182200.0,414833.0,0,0.05942473,2,2023.0,6,0.0063389544,2.2767932,1
851085700.0,129047.0,70.0,211810140.0,2461166.0,3502547.0,955272600.0,1,0.08415141,3,2023.0,3,0.011619683,272.73648,1
1013350800.0,108036.0,84.0,390677400.0,2521214.0,402338.0,97819770.0,1,0.08826146,3,2022.0,14,0.0064534442,243.12773,1
359803600.0,26065.0,86.0,369321340.0,1839225.0,720800.0,74164940.0,1,0.03660757,3,2023.0,22,0.0049800156,102.8924,1
509653100.0,66219.0,67.0,48045204.0,986278.0,328562.0,88846510.0,1,0.041921668,2,2023.0,19,0.020528147,270.40936,1
609699800.0,128498.0,83.0,47611548.0,418343.0,283600.0,96934490.0,1,0.049816787,2,2023.0,2,0.0087866075,341.79883,1
5157486.0,470.0,67.0,1278618.0,27849.0,1100000.0,261000.0,0,0.00043125096,1,2024.0,1,0.021781312,0.23727342,1
242070370.0,37170.0,76.0,22907992.0,261664.0,2553106.0,312997950.0,0,0.023758644,2,2023.0,1,0.011422432,122.594925,1
478150850.0,73306.0,78.0,113379736.0,1312763.0,1700998.0,182319550.0,1,0.0421306,2,2023.0,60,0.011578471,107.18381,1
61382410.0,7240.0,43.0,9977490.0,201210.0,37726464.0,9239474.0,0,0.005113775,1,2020.0,3,0.020166492,0.244907,1
460156060.0,163449.0,77.0,8183226.0,98257.0,530103.0,65920650.0,0,0.036928497,2,2023.0,1,0.012007244,124.35418,1
251153870.0,16811.0,76.0,66691068.0,961957.0,102884.0,34572690.0,0,0.021406319,1,2024.0,17,0.01442409,336.03235,1
205206690.0,28064.0,84.0,39453252.0,672789.0,182200.0,26534406.0,1,0.017158726,0,2024.0,23,0.017052839,145.63261,1
32942304.0,1262.0,74.0,57861796.0,1257935.0,182200.0,26534406.0,0,0.0041230246,0,2024.0,8,0.021740355,145.63261,1
1911559800.0,317345.0,78.0,441257200.0,4829633.0,4930490.0,561201000.0,1,0.16580436,3,2019.0,6,0.010945166,113.82254,1
2014959700.0,354831.0,70.0,1003346200.0,16856186.0,1750366.0,915814900.0,1,0.1903687,3,2021.0,10,0.016799971,523.2131,1
168145580.0,27654.0,85.0,35008948.0,717214.0,182200.0,26534406.0,0,0.014182579,0,2024.0,1,0.02048662,145.63261,1
518988580.0,73116.0,80.0,107703760.0,768813.0,354036.0,74258024.0,0,0.043659635,2,2023.0,13,0.007138228,209.7465,1
247399970.0,22222.0,80.0,389540220.0,4392933.0,182200.0,22950364.0,0,0.02754205,2,2024.0,1,0.011277228,125.96179,1
5712985.0,2311.0,44.0,3120073.0,56276.0,20114496.0,2452502300.0,0,0.035333864,1,2022.0,2,0.018037071,121.92711,1
3358704000.0,392082.0,79.0,2763188700.0,19410390.0,2714134.0,178829440.0,0,0.32045907,3,2018.0,22,0.0070246346,65.88818,1
126914.0,8.0,35.0,2435814000.0,7208467.0,33.0,188.0,0,0.049752485,1,2022.0,1,0.0029593674,5.5588236,1
343090430.0,21104.0,87.0,38173340.0,349660.0,182200.0,26534406.0,0,0.027867517,1,2024.0,14,0.009159822,145.63261,1
239850720.0,32312.5,67.0,39323384.0,44223.0,182200.0,26534406.0,0,0.019853283,0,2024.0,1,0.0011246235,145.63261,1
3006226700.0,335880.0,81.0,4495060000.0,42240880.0,5745117.0,453132700.0,0,0.3322793,3,2017.0,16,0.009397179,78.87266,1
787155900.0,183850.0,77.0,357772640.0,2590835.0,931660.0,95662104.0,1,0.06994847,3,2022.0,23,0.007241571,102.67909,1
532605340.0,128534.0,81.0,97958344.0,1237197.0,322900.0,108595670.0,1,0.045008346,2,2023.0,30,0.012629838,336.3126,1
292789730.0,28591.0,72.0,406307040.0,809942.0,1900606.0,68341860.0,1,0.032062825,3,2023.0,3,0.001993426,35.95791,1
818858240.0,223609.0,71.0,231229580.0,2756840.0,1610614.0,624748300.0,1,0.07734548,3,2022.0,8,0.011922527,387.89426,1
659010800.0,129923.0,86.0,125203450.0,1990342.0,22100.0,13787343.0,1,0.05405974,1,2023.0,30,0.01589687,623.8335,1
3913988.0,545.0,40.0,1577018000.0,9304666.0,182200.0,26534406.0,1,0.032886304,1,2023.0,31,0.0059001655,145.63261,1
126247890.0,5.0,35.0,148269620.0,1257935.0,182200.0,26534406.0,0,0.013233577,0,2024.0,1,0.008484112,145.63261,1
1607421200.0,212406.0,83.0,409785340.0,3326477.0,247865.0,155593090.0,0,0.13572335,3,2022.0,7,0.008117611,627.73065,1
438796960.0,23959.0,78.0,509727230.0,2202866.0,1223804.0,46080264.0,0,0.04522608,3,2023.0,32,0.0043216585,37.653275,1
158627.0,635.0,35.0,2156140800.0,1257935.0,9.0,422.0,0,0.04404364,1,2022.0,1,0.00058342016,42.3,1
1867736000.0,302486.0,76.0,747126800.0,10795292.0,2467227.0,160756740.0,1,0.16295245,3,2020.0,1,0.014449078,65.15682,1
1872577900.0,144619.0,74.0,2638957300.0,62311180.0,3098499.0,662794940.0,0,0.20909216,3,2020.0,14,0.023612045,213.90833,1
8327.0,3.0,67.0,148269620.0,1257935.0,4200000.0,3646489.0,0,0.0030801976,1,2023.0,1,0.008484112,0.8682117,1
3427498800.0,338763.0,82.0,2153702000.0,20891432.0,1940473.0,212007620.0,0,0.31383964,3,2018.0,8,0.009700244,109.255585,1
230849200.0,23091.0,64.0,363082900.0,5135848.0,4897595.0,104580760.0,0,0.026872344,2,2023.0,14,0.0141451135,21.353489,1
720720900.0,74295.0,77.0,221078990.0,2557839.0,4687520.0,1252326400.0,0,0.07840931,3,2022.0,8,0.011569802,267.16177,1
1378494.0,351.0,35.0,1022331.0,22739.0,7702832.0,90289250.0,0,0.0014102027,1,2023.0,1,0.022243263,11.721564,1
2827545.0,62.0,67.0,54330070.0,801621.0,182200.0,26534406.0,0,0.0017063196,0,2024.0,1,0.014754664,145.63261,1
998964100.0,90793.0,35.0,113450530.0,2108657.0,394640.0,152624020.0,1,0.08225825,2,2023.0,20,0.018586587,386.7414,1
37157630.0,2052.0,74.0,63418830.0,427441.0,1600000.0,853176.0,0,0.004200018,1,2024.0,1,0.006739985,0.5332353,1
48428.0,92.0,35.0,2123978400.0,5670850.0,111.0,102828.0,0,0.043379717,1,2022.0,1,0.0026699193,918.1161,1
631955500.0,121823.0,74.0,305998370.0,2647341.0,3168854.0,243797570.0,1,0.05891158,3,2022.0,2,0.00865149,76.93554,1
239850720.0,1.0,67.0,148269620.0,1257935.0,3528100.0,37591836.0,1,0.02223513,1,2024.0,1,0.008484112,10.654978,1
94635336.0,10537.0,67.0,944314.0,17943.0,1300000.0,182937090.0,1,0.00998471,1,2024.0,4,0.019002134,140.72073,1
114574240.0,10564.0,84.0,9134225.0,124326.0,299000.0,4419373.0,0,0.009169355,1,2024.0,5,0.013611115,14.780466,1
31867.0,5.0,35.0,1538564600.0,2066653.0,182200.0,26534406.0,0,0.031798795,1,2023.0,1,0.001343235,145.63261,1
1721045200.0,156941.0,81.0,798827900.0,3379928.0,1614275.0,209367920.0,0,0.15327793,3,2022.0,6,0.0042311107,129.69772,1
8028757.0,1972.0,44.0,48533760.0,399664.0,8800000.0,256186610.0,0,0.005253946,1,2023.0,1,0.008234784,29.112112,1
